,Suburb,Address,Rooms,Type,Price,Date,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Latitude,Longitude,Regionname,Propertycount,train_station_id,train_station_name,distance_to_train_station,closest_school,distance_to_closest_school,Year,Month
0,Surrey Hills,999A Riversdale Rd,3,h,1205000,2016/1/28,11.2,1,2,490,,,-37.8361,145.1006,Southern Metropolitan,5457,19895,Surrey Hills Railway Station (Surrey Hills),1.34,Wattle Park Primary School,0.78,2016,1
1,Surrey Hills,1/10 Florence Rd,2,u,813000,2016/1/28,11.2,1,2,108,,,-37.8276,145.1023,Southern Metropolitan,5457,19895,Surrey Hills Railway Station (Surrey Hills),0.49,Surrey Hills Primary School,0.26,2016,1
2,Caulfield,6/5 Freeman St,2,u,722500,2016/3/9,8.9,1,1,0,100,1960,-37.8865,145.0302,Southern Metropolitan,2379,19942,Glenhuntly Railway Station (Glen Huntly),1.12,Melbourne Montessori School,0.44,2016,3
3,Gowanbrae,1 Gowanbrae Dr,3,h,631000,2016/3/9,13.6,2,2,608,138,2001,-37.709,144.8925,Western Metropolitan,1071,20032,Glenroy Railway Station (Glenroy),2.23,Tullamarine Primary School,1.37,2016,3
4,Glenroy,89 John St,3,h,610000,2016/3/9,13,1,2,696,118,1960,-37.6972,144.9431,Northern Metropolitan,8870,19961,Gowrie Railway Station (Glenroy),1.44,Belle Vue Park Primary School,0.45,2016,3
5,Southbank,41/106 Southbank Bvd,3,u,720000,2016/3/9,1.2,1,1,0,106,1993,-37.8235,144.9655,Southern Metropolitan,8400,22238,Flinders Street Railway Station (Melbourne City),0.59,Victorian College Of The Arts Secondary School,0.53,2016,3
6,Spotswood,73 The Avenue,3,h,1040000,2016/3/9,7.7,1,3,690,,1950,-37.8272,144.8789,Western Metropolitan,1223,19995,Spotswood Railway Station (Spotswood),0.73,St Margaret Mary's School,0.23,2016,3
7,Brighton East,7 Balfour St,4,h,1940000,2016/3/9,10.7,2,2,682,240,1960,-37.9205,145.0122,Southern Metropolitan,6938,19951,Middle Brighton Railway Station (Brighton),1.52,Brighton Secondary College,0.61,2016,3
8,Armadale,8/19 Mercer Rd,2,u,599000,2016/3/9,6.3,1,1,0,76,1964,-37.8543,145.0262,Southern Metropolitan,4836,19945,Armadale Railway Station (Armadale),0.65,Lauriston Girls' School,0.24,2016,3
9,Brighton East,4 Marriage Rd,4,h,1850000,2016/3/9,10.7,2,2,617,268,1940,-37.9187,145.007,Southern Metropolitan,6938,19951,Middle Brighton Railway Station (Brighton),1.02,Brighton Primary School,0.89,2016,3
